genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Phenylobacterium	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Prevotella	2.210977812177536	0.3310489908030665	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Proteus	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Pseudomonas	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Roseburia	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Ruminococcus2	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Senegalimassilia	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Staphylococcus	2.3119535566902725	0.31474994577252796	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Subdoligranulum	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Veillonella	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Veillonellaceae Unclassified	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5820083450636703	30
Alistipes	1.4719337973376836	0.4790420498558422	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.5838324982618077	30
Bifidobacterium	1.1379545573804912	0.5661041094759316	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.639943775929314	30
Coriobacteriaceae Unclassified	1.1861591695501976	0.5526228127480847	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.639943775929314	30
Lachnospiraceae Unclassified	1.1547657129316868	0.5613656201243372	2	Kruskal-Wallis rank sum test	0.363	0.402	0.494	NA	0.639943775929314	30
Ruminococcus	1.1960936077216615	0.5498846203960571	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.639943775929314	30
Streptococcus	1.1398195425614617	0.5655764676376883	2	Kruskal-Wallis rank sum test	0	0	0	NA	0.639943775929314	30
